	Recording	Participant	TOI	Interval	Media	Event_type	Validity	EventIndex	Start	Stop	Duration	AOI	Hit_proportion	FixationPointX	FixationPointY	Average_pupil_diameter	Saccade_direction	Average_velocity	Peak_velocity	Saccade_amplitude	Start_AOI	Landing_AOI	Start_position_X	Start_position_Y	Landing_position_X	Landing_position_Y
29640	Recording045	participant01_trial02	Entire Recording	1	fullstream	Saccade	Whole	174	50445	50455	10						88.92	109.22	109.22	3.91			0.48535	0.69923	0.48700000000000004	0.61223
29641	Recording045	participant01_trial02	Entire Recording	1	fullstream	Fixation	Whole	185	50455	50625	170			0.48700000000000004	0.61223	2.75749										
29642	Recording045	participant01_trial02	Entire Recording	1	fullstream	Saccade	Whole	175	50625	50645	20						199.57	146.91	154.88	3.77			0.48700000000000004	0.61223	0.44633999999999996	0.62669
29643	Recording045	participant01_trial02	Entire Recording	1	fullstream	Fixation	Partial	186	50645	50815	170			0.44633999999999996	0.62669	2.7289999999999996										
29644	Recording045	participant01_trial02	Entire Recording	1	fullstream	Saccade	Partial	176	50895	50905	10							126.04	126.04						0.42467	0.59996
29645	Recording045	participant01_trial02	Entire Recording	1	fullstream	Fixation	Whole	187	50905	51225	320			0.42467	0.59996	2.76003										
29646	Recording045	participant01_trial02	Entire Recording	1	fullstream	Saccade	Whole	177	51225	51255	30						294.87	150.03	206.59	4.18			0.42467	0.59996	0.45798	0.67182
29647	Recording045	participant01_trial02	Entire Recording	1	fullstream	Fixation	Partial	188	51255	51365	110			0.45798	0.67182	2.88869										
29648	Recording045	participant01_trial02	Entire Recording	1	fullstream	Fixation	Partial	189	51385	51485	100			0.45441000000000004	0.65466	2.88234										
29649	Recording045	participant01_trial02	Entire Recording	1	fullstream	Saccade	Partial	178	51525	51575	50							147.6	222.04						0.41417	0.56755
29650	Recording045	participant01_trial02	Entire Recording	1	fullstream	Fixation	Whole	190	51575	51855	280			0.41417	0.56755	2.82576										
29651	Recording045	participant01_trial02	Entire Recording	1	fullstream	Saccade	Whole	179	51855	51865	10						70.12	119.27	119.27	0.96			0.41417	0.56755	0.42075	0.54933
29652	Recording045	participant01_trial02	Entire Recording	1	fullstream	Fixation	Partial	191	51865	52065	200			0.42075	0.54933	2.8284599999999998										
29653	Recording045	participant01_trial02	Entire Recording	1	fullstream	Saccade	Partial	180	52105	52135	30							165.35	165.35							
29654	Recording045	participant01_trial02	Entire Recording	1	fullstream	Fixation	Partial	192	52154	52234	80			0.5485899999999999	0.74124	2.9407400000000004										
29655	Recording045	participant01_trial02	Entire Recording	1	fullstream	Fixation	Partial	193	52254	52364	110			0.5516300000000001	0.75895	2.94238										
29656	Recording045	participant01_trial02	Entire Recording	1	fullstream	Saccade	Partial	181	52364	52384	20							153.03	153.03				0.5516300000000001	0.75895		
29657	Recording045	participant01_trial02	Entire Recording	1	fullstream	Saccade	Partial	182	52404	52434	30							398.42	398.42							
29658	Recording045	participant01_trial02	Entire Recording	1	fullstream	Fixation	Partial	194	52534	52644	110			0.42262	0.51503	2.77046										
29659	Recording045	participant01_trial02	Entire Recording	1	fullstream	Fixation	Partial	195	52704	52804	100			0.44702	0.5155	2.75026										
29660	Recording045	participant01_trial02	Entire Recording	1	fullstream	Saccade	Partial	183	52864	52894	30							121.73	126.63							
29661	Recording045	participant01_trial02	Entire Recording	1	fullstream	Fixation	Partial	196	52954	53084	130			0.47777	0.48813	2.93413										
29662	Recording045	participant01_trial02	Entire Recording	1	fullstream	Saccade	Partial	184	53124	53164	40							211.02	312.34							
29663	Recording045	participant01_trial02	Entire Recording	1	fullstream	Fixation	Partial	197	53224	53384	160			0.52035	0.63774	2.91598										
29664	Recording045	participant01_trial02	Entire Recording	1	fullstream	Fixation	Partial	198	53504	53734	230			0.5002800000000001	0.60893	2.88144										
29665	Recording045	participant01_trial02	Entire Recording	1	fullstream	Saccade	Partial	185	53774	53794	20							137.93	137.93						0.4741	0.49872
29666	Recording045	participant01_trial02	Entire Recording	1	fullstream	Fixation	Partial	199	53794	53903	110			0.4741	0.49872	2.85831										
29667	Recording045	participant01_trial02	Entire Recording	1	fullstream	Fixation	Partial	200	53923	54033	110			0.46503999999999995	0.5042800000000001	2.7643299999999997										
29668	Recording045	participant01_trial02	Entire Recording	1	fullstream	Fixation	Partial	201	54103	54183	80			0.43976000000000004	0.52737	2.66737										
29669	Recording045	participant01_trial02	Entire Recording	1	fullstream	Fixation	Partial	202	54223	54313	90			0.42591	0.53833	2.71135										
29670	Recording045	participant01_trial02	Entire Recording	1	fullstream	Fixation	Partial	203	54353	54433	80			0.41494	0.54765	2.70638										
29671	Recording045	participant01_trial02	Entire Recording	1	fullstream	Saccade	Partial	186	54433	54463	30							426.59	486.29				0.41494	0.54765		
29672	Recording045	participant01_trial02	Entire Recording	1	fullstream	Saccade	Partial	187	54523	54543	20							215.35	215.35							
29673	Recording045	participant01_trial02	Entire Recording	1	fullstream	Saccade	Partial	188	54583	54613	30							124.41	130.31							
29674	Recording045	participant01_trial02	Entire Recording	1	fullstream	Saccade	Partial	189	54633	54653	20							116.16	116.16							
29675	Recording045	participant01_trial02	Entire Recording	1	fullstream	Saccade	Partial	190	54693	54703	10							105.2	105.2							
29676	Recording045	participant01_trial02	Entire Recording	1	fullstream	Saccade	Partial	191	54783	54813	30							162.29	191.25						0.56087	0.75718
29677	Recording045	participant01_trial02	Entire Recording	1	fullstream	Fixation	Partial	204	54813	54883	70			0.56087	0.75718	2.65461										
29678	Recording045	participant01_trial02	Entire Recording	1	fullstream	Saccade	Partial	192	54933	54943	10							119.33	119.33						0.48453	0.78901
29679	Recording045	participant01_trial02	Entire Recording	1	fullstream	Fixation	Partial	205	54943	55013	70			0.48453	0.78901	2.54272										
29680	Recording045	participant01_trial02	Entire Recording	1	fullstream	Saccade	Partial	193	55083	55123	40							110.78	134.57							
29681	Recording045	participant01_trial02	Entire Recording	1	fullstream	Fixation	Partial	206	55203	55273	70			0.62538	0.28255	2.6844099999999997										
