	Recording	Participant	TOI	Interval	Media	Event_type	Validity	EventIndex	Start	Stop	Duration	AOI	Hit_proportion	FixationPointX	FixationPointY	Average_pupil_diameter	Saccade_direction	Average_velocity	Peak_velocity	Saccade_amplitude	Start_AOI	Landing_AOI	Start_position_X	Start_position_Y	Landing_position_X	Landing_position_Y
20486	Recording031	participant27_trial02	Entire Recording	1	fullstream	Fixation	Partial	176	46467	46617	150			0.25681	0.2396	2.8035900000000002										
20487	Recording031	participant27_trial02	Entire Recording	1	fullstream	Saccade	Partial	170	46707	46737	30							420.1	535.52							
20488	Recording031	participant27_trial02	Entire Recording	1	fullstream	Saccade	Partial	171	46757	46787	30							768.28	768.28							
20489	Recording031	participant27_trial02	Entire Recording	1	fullstream	Saccade	Partial	172	46857	46877	20							114.01	126.96							
20490	Recording031	participant27_trial02	Entire Recording	1	fullstream	Saccade	Partial	173	46897	46907	10							103.22	103.22							
20491	Recording031	participant27_trial02	Entire Recording	1	fullstream	Saccade	Partial	174	46947	46997	50							342.9	486.13							
20492	Recording031	participant27_trial02	Entire Recording	1	fullstream	Saccade	Partial	175	47037	47047	10							103.5	103.5							
20493	Recording031	participant27_trial02	Entire Recording	1	fullstream	Saccade	Partial	176	47107	47127	20							129.05	129.05							
20494	Recording031	participant27_trial02	Entire Recording	1	fullstream	Saccade	Partial	177	47167	47187	20							220.34	225.44						0.68485	0.48945
20495	Recording031	participant27_trial02	Entire Recording	1	fullstream	Fixation	Whole	177	47187	47317	130			0.68485	0.48945	3.07869										
20496	Recording031	participant27_trial02	Entire Recording	1	fullstream	Saccade	Partial	178	47317	47337	20							166.7	166.7				0.68485	0.48945		
20497	Recording031	participant27_trial02	Entire Recording	1	fullstream	Fixation	Partial	178	47377	47487	110			0.68916	0.44514	3.14288										
20498	Recording031	participant27_trial02	Entire Recording	1	fullstream	Saccade	Partial	179	47537	47567	30							501.45	672.19						0.45688	0.6161800000000001
20499	Recording031	participant27_trial02	Entire Recording	1	fullstream	Fixation	Partial	179	47567	47707	140			0.45688	0.6161800000000001	3.03649										
20500	Recording031	participant27_trial02	Entire Recording	1	fullstream	Saccade	Partial	180	47807	47827	20							147.11	154.8						0.43393999999999994	0.48886999999999997
